연번,허가일자,상호,설비용량(킬로와트),설치장소,사업개시일
84,2013-01-07,(주)성훈철강,1623.84 ,진주시 도동로 80 (상평동),2016-05-02
85,2012-12-31,코리아에너지발전소(주) 2호기,2326.50 ,사천시 사남면 공단1로 78,2013-06-25
86,2012-12-31,코리아에너지발전소(주) 1호기,2993.96 ,사천시 사남면 공단1로 78,2013-06-25
87,2012-10-16,창원쏠라랜드(주)제1발전소,1700.00 ,창원시 마산회원구 내서읍 유통단지로 33,2013-12-31
88,2012-07-19,호포차량기지 태양광발전소,1500.00 ,양산시 동면 가산리 546번지,2013-04-24
89,2012-06-21,에스케이이엔에스(주) 경남창원태양광발전소,2951.04 ,창원시 성산구 두산볼보로 22 (귀곡동),2012-12-05
90,2012-01-19,(주)엔에스쏠라 태양광발전소,2966.25 ,창녕군 대합면 대동월포로 291,2013-06-17
91,2011-09-26,경남에너지주식회사,1200.00 ,"창원시 마산합포구 가포로 739 (덕동동,외 2필지)",2011-12-07
92,2011-08-25,(주)가조은혜개발,1200.00 ,거창군 가조면 석강리 산 46번지 6호,2014-05-01
93,2011-07-13,이글스에너지(주),2249.28 ,"창원시 성산구 성산패총로 9 (성산동,한화테크엠(주) 건물옥상)",2013-01-03
94,2007-12-20,백운세일에너지(주),1500.00 ,함양군 백전면 운산리 811번지 일원,2008-10-01
95,2007-11-28,김해명동태양광발전 주식회사,1538.60 ,김해시 한림면 김해대로 1347,2008-06-09
96,2007-11-28,합천솔라파크(주),1500.00 ,합천군 가회면 월계리 산 112번지 외 3필지,2008-08-26
97,2007-09-03,진수전력태양광발전소 (법인명 :(주)진수전력),2500.00 ,진주시 수곡면 효자리 263-1,2021-03-04
98,2007-03-19,(주)고암태양광발전,1500.00 ,창녕군 고암면 대암리 산 20번지 1호 외 8필지,2008-08-30
99,2007-01-10,한국서부발전(주),2000.00 ,밀양시 삼랑진읍 안태리 208번지 1호 일원,2007-09-21
