지점,지점명,일시,합계 일사량(MJ/m2)
129,서산,2015,4183.63
129,서산,2016,3975.9
129,서산,2017,4120.14
129,서산,2018,5533.11
129,서산,2019,5395.21
136,안동,2015,5296.9
136,안동,2016,5186.38
136,안동,2017,5504.78
136,안동,2018,5793.86
136,안동,2019,5603.51
192,진주,2015,5136.46
192,진주,2016,3465.48
192,진주,2017,4137.95
192,진주,2018,4843.98
192,진주,2019,5579.16
